Date,BP,COP,CVX,EQNR,OKE,PXD,XOM
5/11/2010,48.74,43.67,79.7,22.45,21.37,63.85,64.46
5/12/2010,48.5,43.97,80.06,22.91,21.7,65.5,64.91
5/13/2010,48.1,43.41,78.92,22.59,21.32,64.82,64.74
5/14/2010,46.87,42.57,77.83,22.23,20.68,62.91,63.6
5/17/2010,46.57,42.07,77.73,22.08,20.56,60.93,63.27
5/18/2010,45.38,41.68,76.85,21.96,20.13,60.52,62.79
5/19/2010,45.27,41.1,76.6,21.62,19.82,59.53,62.45
5/20/2010,44.58,38.82,73.6,20.31,18.78,56.4,60.33
5/21/2010,43.86,39.24,74.48,19.78,18.92,59.45,60.88
5/24/2010,41.86,38.2,73.44,19.22,18.73,58.08,60.19
5/25/2010,42.56,38.06,72.57,19.21,18.38,58.6,59.71
5/26/2010,42.41,37.79,71.55,19.31,18.8,60,59.31
5/27/2010,45.38,39.8,74.36,20.53,19.53,63.49,61.46
5/28/2010,42.95,39.53,73.87,20.1,19.47,63.7,60.46
6/1/2010,36.52,38.37,72.29,19.61,18.75,61.74,59.25
6/2/2010,37.66,40.01,74.13,20.61,19.59,65.78,60.77
6/3/2010,39.27,39.63,73.91,20.96,19.82,67.51,61.56
6/4/2010,37.16,38.16,71.28,19.91,18.98,63.24,59.53
6/7/2010,36.76,37.8,71.35,19.64,18.59,62.3,59.3
6/8/2010,34.68,38.76,71.02,19.96,18.87,63.95,61.24
6/9/2010,29.2,38.66,70.79,20.05,18.92,64.56,60.03
6/10/2010,32.78,40.69,74.17,20.8,19.72,68.87,61.89
6/11/2010,33.97,40.78,74.06,20.91,19.83,70.1,61.86
6/14/2010,30.67,40.25,74.18,21.04,19.96,69.64,61.37
6/15/2010,31.4,41.39,75.23,21.81,20.54,71.03,62.51
6/16/2010,31.85,41.52,74.95,21.51,20.47,71.66,62.51
6/17/2010,31.71,42.06,75.32,21.47,20.61,71.52,62.6
6/18/2010,31.76,42.7,75.52,21.45,20.57,71.65,63.1
6/21/2010,30.33,42.54,75.72,21.36,20.56,71.03,63.13
6/22/2010,29.68,41.52,74,20.79,19.91,66.97,61.94
6/23/2010,29.67,40.79,72.26,20.69,19.48,67.19,61.1
6/24/2010,28.74,40.03,70.83,20.22,19.44,64.97,60.07
